STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
TAS,41.325,69.295,470,10.54,327.5,Pn,P,04-04-1905,00:52:24,-5.3,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
TAS,41.325,69.295,470,10.54,327.5,Sn,S,04-04-1905,00:54:26,-0.8,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
TIF,41.7167,44.8,399,26.93,298.9,P,P,04-04-1905,00:55:48,8.7,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
AKH,41.41,43.4928,1708,27.85,297.9,S,S,04-04-1905,01:00:34,3.8,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
IRK,52.2431,104.2711,467,27.93,37.3,P,P,04-04-1905,00:55:44,-4.2,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
BOR,41.8333,43.3833,794,27.99,298.8,P,P,04-04-1905,00:55:52,3,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
KRA,50.0561,19.9397,223,44.95,310.2,P,P,04-04-1905,00:58:12,-0.9,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
KRA,50.0561,19.9397,223,44.95,310.2,PcS,PcS,04-04-1905,01:03:48,0.5,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
HRB,47.8736,18.1928,115,46.14,307.2,P,P,04-04-1905,00:58:19,-3.4,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
UPP,59.8576,17.6229,14,47.03,323.7,S,S,04-04-1905,01:05:19,-0.6,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
DJA,-6.1833,106.8362,8,48.03,138,P,P,04-04-1905,00:58:33,-4.5,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
DJA,-6.1833,106.8362,8,48.03,138,S,S,04-04-1905,01:05:33,-1.8,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
KMR,48.0565,14.1319,379,48.85,307.7,P,P,04-04-1905,00:58:38,-5.5,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
POT,52.3803,13.0678,80,49.23,313.5,P,P,04-04-1905,00:58:46,-0.3,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
POT,52.3803,13.0678,80,49.23,313.5,S,S,04-04-1905,01:05:51,0.1,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
TRS,45.6428,13.7539,8,49.39,304.6,P,P,04-04-1905,00:58:44,-3.6,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
TRS,45.6428,13.7539,8,49.39,304.6,S,S,04-04-1905,01:05:43,-10.4,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
POL,44.8667,13.85,32,49.43,303.5,P,P,04-04-1905,00:58:50,2,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
POL,44.8667,13.85,32,49.43,303.5,S,S,04-04-1905,01:05:58,4,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
LEI,51.335,12.3917,113,49.7,312.1,P,P,04-04-1905,00:58:44,-5.9,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
LEI,51.335,12.3917,113,49.7,312.1,S,S,04-04-1905,01:05:53,-4.7,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
JEN,50.9519,11.5833,193,50.24,311.7,P,P,04-04-1905,00:58:54,0,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
JEN,50.9519,11.5833,193,50.24,311.7,P,P,04-04-1905,00:58:54,0,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
JEN,50.9519,11.5833,193,50.24,311.7,P,P,04-04-1905,00:58:54,0,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
JEN,50.9519,11.5833,193,50.24,311.7,P,P,04-04-1905,00:58:54,0,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
JEN,50.9519,11.5833,193,50.24,311.7,S,S,04-04-1905,01:06:06,0.8,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
PAD,45.4086,11.8861,12,50.72,304.5,P,P,04-04-1905,00:58:58,0.3,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
GTT,51.5464,9.9642,272,51.2,312.6,P,P,04-04-1905,00:58:55,-6.3,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
GTT,51.5464,9.9642,272,51.2,312.6,P,P,04-04-1905,00:58:55,-6.3,TRUE,ISC,04-04-1905,00:49:59,32.6359,76.7878,20,ISC,MS,7.8
