STA,LAT,LON,ELEV,CHN,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG,MS,8.2
BOM,18.8958,72.8127,6,???,14.97,240.8,Sn,S,15-01-1934,08:49:38,-4.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
AAA,43.209,76.915,920,???,18.13,336.9,P,P,15-01-1934,08:47:40,2.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FRU,42.8333,74.6167,655,???,18.67,331.5,P,P,15-01-1934,08:47:43,0,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
FRU,42.8333,74.6167,655,???,18.67,331.5,Sn,S,15-01-1934,08:51:07,-4.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
KOD,10.2333,77.4667,2345,???,18.67,209.2,P,P,15-01-1934,08:47:36,-7.5,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PLV,20.806,106.629,90,???,19.29,104,P,P,15-01-1934,08:47:47,-3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PLV,20.806,106.629,90,???,19.29,104,Sn,S,15-01-1934,08:51:29,1.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PLV,20.806,106.629,90,???,19.29,104,P,P,15-01-1934,08:47:47,-3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PLV,20.806,106.629,90,???,19.29,104,Sn,S,15-01-1934,08:51:29,1.7,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TAS,41.325,69.295,470,???,20.26,319.7,P,P,15-01-1934,08:47:55,-5.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
COC,6.9,79.8667,7,???,20.88,199,P,P,15-01-1934,08:48:05,-2.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
COC,6.9,79.8667,7,???,20.88,199,S,S,15-01-1934,08:52:00,0.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HKC,22.302,114.1743,27,???,25.47,94.3,P,P,15-01-1934,08:48:45,-8.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HKC,22.302,114.1743,27,???,25.47,94.3,S,S,15-01-1934,08:53:16,-4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
MED,3.55,98.6833,32,???,25.93,151.4,P,P,15-01-1934,08:49:02,4.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PEK,40.0403,116.175,43,???,27.81,54.3,P,P,15-01-1934,08:49:11,-3.2,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
PEK,40.0403,116.175,43,???,27.81,54.3,S,S,15-01-1934,08:53:58,1.4,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NAN,32.0633,118.783,10,???,28.44,71.8,P,P,15-01-1934,08:49:15,-4.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
NAN,32.0633,118.783,10,???,28.44,71.8,S,S,15-01-1934,08:54:01,-5.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
ZKW,31.1833,121.433,7,???,30.69,73.6,P,P,15-01-1934,08:49:36,-3.8,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TAP,25.0393,121.506,6,???,31.39,85.4,P,P,15-01-1934,08:49:48,1.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TAP,25.0393,121.506,6,???,31.39,85.4,S,S,15-01-1934,08:55:01,7.9,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
HEN,22.0055,120.7381,22.1,???,31.41,91.4,S,S,15-01-1934,08:54:55,1.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
TTN,22.754,121.147,9,???,31.58,89.8,P,P,15-01-1934,08:49:54,6.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
DAI,38.9,121.633,97,???,31.59,58.8,P,P,15-01-1934,08:49:43,-4.6,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
DAI,38.9,121.633,97,???,31.59,58.8,S,S,15-01-1934,08:54:58,2.1,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
BAK,40.372,49.818,83,???,33.2,303.4,P,P,15-01-1934,08:50:04,2.3,TRUE,ISC,15-01-1934,08:43:26,26.8847,86.5885,15,ISC,MS,8.2,MS,8.2
