STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
CAL,22.5392,88.3307,6,9.35,233.5,Pn,P,15-08-1950,14:11:50,1.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NDI,28.6833,77.2167,230,16.91,275.7,Pn,P,15-08-1950,14:13:27,-3.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NAN,32.0633,118.783,10,19.65,73.7,P,P,15-08-1950,14:13:58,-4.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NAN,32.0633,118.783,10,19.65,73.7,S,S,15-08-1950,14:17:40,-4.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HYD,17.4333,78.45,528,19.8,240.5,P,P,15-08-1950,14:14:05,0.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NRN,41.4333,76,2849,21.18,313.4,P,P,15-08-1950,14:14:20,0.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
AAA,43.209,76.915,920,21.63,318.6,P,P,15-08-1950,14:14:25,0.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ZKW,31.1833,121.433,7,21.86,76.5,P,P,15-08-1950,14:14:30,3.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ZKW,31.1833,121.433,7,21.86,76.5,S,S,15-08-1950,14:18:28,0,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FRU,42.8333,74.6167,655,22.79,315.1,P,P,15-08-1950,14:14:38,1.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
POO,18.5295,73.8492,560,22.89,249.6,P,P,15-08-1950,14:14:36,-2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
POO,18.5295,73.8492,560,22.89,249.6,S,S,15-08-1950,14:18:48,0.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PUNE,18.5296,73.8491,600,22.89,249.6,P,P,15-08-1950,14:14:36,-2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PUNE,18.5296,73.8491,600,22.89,249.6,P,P,15-08-1950,14:14:36,-2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
PUNE,18.5296,73.8491,600,22.89,249.6,S,S,15-08-1950,14:18:48,0.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ANR,40.755,72.36,494,23.29,308.4,P,P,15-08-1950,14:14:43,1.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FRG,40.3742,71.784,581,23.54,307.1,P,P,15-08-1950,14:14:44,-0.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
BOM,18.8958,72.8127,6,23.58,251.6,P,P,15-08-1950,14:14:45,0.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OBG,38.7167,69.7167,1350,24.48,301.9,P,P,15-08-1950,14:14:49,-4.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
IRK,52.2431,104.2711,467,24.56,11.6,P,P,15-08-1950,14:14:54,0.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
IRK,52.2431,104.2711,467,24.56,11.6,S,S,15-08-1950,14:19:17,3.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
DSH,38.5583,68.775,847,25.14,301,P,P,15-08-1950,14:15:00,0.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
DSH,38.5583,68.775,847,25.14,301,S,S,15-08-1950,14:19:15,-8.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SEM,50.408,80.25,2100,25.22,335.2,P,P,15-08-1950,14:15:01,1.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SEM,50.408,80.25,2100,25.22,335.2,S,S,15-08-1950,14:19:26,1.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KOD,10.2333,77.4667,2345,25.35,228.4,P,P,15-08-1950,14:15:03,1.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KOD,10.2333,77.4667,2345,25.35,228.4,S,S,15-08-1950,14:19:33,5.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TAS,41.325,69.295,470,25.64,307.4,P,P,15-08-1950,14:15:04,0.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
TAS,41.325,69.295,470,25.64,307.4,S,S,15-08-1950,14:19:34,2.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
COC,6.9,79.8667,7,26.49,219.4,P,P,15-08-1950,14:15:12,0.5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SAM,39.6617,66.9524,668,26.78,302.6,P,P,15-08-1950,14:15:17,2.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NGS,32.7317,129.87,24,29.04,73,PnPn,PP,15-08-1950,14:16:33,6.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
NGS,32.7317,129.87,24,29.04,73,S,S,15-08-1950,14:20:26,0.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
UNZ,32.74,130.265,678,29.38,73,S,S,15-08-1950,14:20:32,1.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FKK,33.58,130.38,3,29.48,71.3,P,P,15-08-1950,14:15:36,-2.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FKK,33.58,130.38,3,29.48,71.3,S,S,15-08-1950,14:20:40,8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
FKK,33.58,130.38,3,29.48,71.3,SnSn,SS,15-08-1950,14:22:03,3.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
YKS,30.45,130.497,15,29.68,77.6,P,P,15-08-1950,14:15:34,-5.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
YKS,30.45,130.497,15,29.68,77.6,PnPn,PP,15-08-1950,14:16:30,-5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KUM,32.81,130.71,39,29.75,72.8,P,P,15-08-1950,14:15:37,-3.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KUM,32.81,130.71,39,29.75,72.8,S,S,15-08-1950,14:20:32,-4.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MRY,37.6,61.8667,0,30.29,296.7,P,P,15-08-1950,14:15:46,0.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MYZ,31.92,131.4233,7,30.38,74.6,P,P,15-08-1950,14:15:43,-3.1,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MYZ,31.92,131.4233,7,30.38,74.6,PnPn,PP,15-08-1950,14:16:36,-8.4,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MYZ,31.92,131.4233,7,30.38,74.6,S,S,15-08-1950,14:20:55,8.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OIT,33.2333,131.623,5,30.51,72,P,P,15-08-1950,14:15:47,-0.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OIT,33.2333,131.623,5,30.51,72,PnPn,PP,15-08-1950,14:16:43,-3.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OIT,33.2333,131.623,5,30.51,72,S,S,15-08-1950,14:20:58,9.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HIR,34.3633,132.437,30,31.2,69.8,P,P,15-08-1950,14:15:50,-3.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
MTY,33.84,132.78,34,31.48,70.8,P,P,15-08-1950,14:15:52,-3.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SHM,32.775,132.958,2,31.64,72.8,P,P,15-08-1950,14:15:56,-1.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SHM,32.775,132.958,2,31.64,72.8,PnPn,PP,15-08-1950,14:16:56,-5,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
VLA,43.1196,131.885,61,32.05,53.1,P,P,15-08-1950,14:15:57,-3.8,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
ASH,37.95,58.35,220,33.1,296.7,P,P,15-08-1950,14:16:10,0,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
SUM,34.335,134.908,110,33.24,69.9,P,P,15-08-1950,14:16:09,-2.3,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
KOB,34.6883,135.18,58,33.47,69.2,P,P,15-08-1950,14:16:11,-2.2,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OSA,34.6783,135.522,13,33.75,69.3,P,P,15-08-1950,14:16:14,-1.7,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OSA,34.6783,135.522,13,33.75,69.3,PP,PP,15-08-1950,14:17:42,9.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
OWA,34.0667,136.195,17,34.31,70.3,P,P,15-08-1950,14:16:18,-2.6,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
HIK,35.2733,136.247,87,34.34,68.2,P,PP,15-08-1950,14:16:18,-2.9,TRUE,ISC,15-08-1950,14:09:35,28.3633,96.4454,15,ISC,MS,8.6
