STA,LAT,LON,ELEV,DIST,BAZ,ISCPHASE,REPPHASE,DATE,TIME,RES,TDEF,AUTHOR,DATE,TIME,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
NDI,28.6833,77.2167,230,3.82,197,Pn,Pn,19-01-1975,08:03:00,0.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NDI,28.6833,77.2167,230,3.82,197,Sb,Sn,19-01-1975,08:03:54,-0.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KHO,37.4833,71.5333,2199,7.67,313.8,Pn,P,19-01-1975,08:03:55,2.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KHO,37.4833,71.5333,2199,7.67,313.8,Sn,S,19-01-1975,08:05:19,-0.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KUL,37.92,69.78,600,9.04,310.3,Pn,P,19-01-1975,08:04:13,1.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NRN,41.4333,76,2849,9.28,348.3,Pn,P,19-01-1975,08:04:15,0.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NRN,41.4333,76,2849,9.28,348.3,Sn,S,19-01-1975,08:05:59,-0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NRN,41.4333,76,2849,9.28,348.3,Pn,P,19-01-1975,08:04:15,0.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NRN,41.4333,76,2849,9.28,348.3,Sn,S,19-01-1975,08:05:59,-0.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
GAR,39,70.316,1305,9.39,317.2,Pn,P,19-01-1975,08:04:16,-0.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ANR,40.755,72.36,494,9.72,331.3,Pn,P,19-01-1975,08:04:22,1.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ANR,40.755,72.36,494,9.72,331.3,Pn,P,19-01-1975,08:04:22,1.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DSH,38.5583,68.775,847,10.05,310.7,Pn,P,19-01-1975,08:04:28,2.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DSH,38.5583,68.775,847,10.05,310.7,Sn,S,19-01-1975,08:06:24,6.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DSH,38.5583,68.775,847,10.05,310.7,Pn,P,19-01-1975,08:04:28,2.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
DSH,38.5583,68.775,847,10.05,310.7,Sn,S,19-01-1975,08:06:24,6.1,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PRZ,42.4833,78.4,1835,10.12,359.6,Pn,P,19-01-1975,08:04:28,1.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
PRZ,42.4833,78.4,1835,10.12,359.6,Pn,P,19-01-1975,08:04:28,1.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
FRU,42.8333,74.6167,655,10.9,344.8,Pn,P,19-01-1975,08:04:38,1.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
FRU,42.8333,74.6167,655,10.9,344.8,Pn,P,19-01-1975,08:04:38,1.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
AAB,43.233,77.225,1120,10.91,355.1,Pn,P,19-01-1975,08:04:37,0,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TAS,41.325,69.295,470,11.6,323.2,Pn,P,19-01-1975,08:04:44,-2.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TAS,41.325,69.295,470,11.6,323.2,Sn,S,19-01-1975,08:06:56,0.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TAS,41.325,69.295,470,11.6,323.2,Pn,P,19-01-1975,08:04:44,-2.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
TAS,41.325,69.295,470,11.6,323.2,Sn,S,19-01-1975,08:06:56,0.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SAM,39.6617,66.9524,668,11.84,311.2,Pn,P,19-01-1975,08:04:48,-1.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SHL,25.5667,91.8833,1600,13.53,116.6,Pn,P,19-01-1975,08:05:11,-2.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SHL,25.5667,91.8833,1600,13.53,116.6,Sn,S,19-01-1975,08:07:51,7.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
HYB,17.4169,78.5531,510,14.87,179.8,Pn,P,19-01-1975,08:05:27,-4.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MSH,36.3111,59.5878,987,16.1,289.4,Pn,P,19-01-1975,08:05:47,0,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MSH,36.3111,59.5878,987,16.1,289.4,Sn,S,19-01-1975,08:08:40,-5.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ASH,37.95,58.35,220,17.38,294.3,P,P,19-01-1975,08:06:05,0.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ASH,37.95,58.35,220,17.38,294.3,P,P,19-01-1975,08:06:06,1.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SEM,50.408,80.25,2100,18.09,3.6,Pn,P,19-01-1975,08:06:10,-1.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
GBA,13.6042,77.4361,686,18.69,183.2,P,P,19-01-1975,08:06:16,-3.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KAT,39.028,56.27,200,19.21,296.5,Pn,P,19-01-1975,08:06:25,-0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KAT,39.028,56.27,200,19.21,296.5,Pn,P,19-01-1975,08:06:25,-0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KAT,39.028,56.27,200,19.21,296.5,Sn,S,19-01-1975,08:09:57,-3.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KOD,10.2333,77.4667,2345,22.03,182.7,P,P,19-01-1975,08:06:57,0.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
KOD,10.2333,77.4667,2345,22.03,182.7,PcP,PcP,19-01-1975,08:10:47,-6.9,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
SHI,29.6418,52.5133,1595,22.41,270,P,P,19-01-1975,08:07:01,1.3,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
NVS,54.8406,83.2344,150,22.73,7.1,P,P,19-01-1975,08:07:00,-2.6,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BAK,40.372,49.818,83,24.36,297.3,P,P,19-01-1975,08:07:24,5.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
BAK,40.372,49.818,83,24.36,297.3,S,S,19-01-1975,08:11:38,0.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MOY,51.6667,100.9931,1303,25.36,33.8,P,P,19-01-1975,08:07:30,2.2,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
MOY,51.6667,100.9931,1303,25.36,33.8,P,P,19-01-1975,08:07:30,1.8,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ZAK,50.3819,103.2806,1200,25.71,38.2,P,P,19-01-1975,08:07:32,0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ZAK,50.3819,103.2806,1200,25.71,38.2,S,S,19-01-1975,08:11:54,-5.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ZAK,50.3819,103.2806,1200,25.71,38.2,P,P,19-01-1975,08:07:32,0.7,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
ZAK,50.3819,103.2806,1200,25.71,38.2,S,S,19-01-1975,08:11:54,-5.4,TRUE,ISC,19-01-1975,08:02:01,32.3511,78.487,12.9,ISC,MS,7
