STA,ISCPHASE,REPPHASE,DATE,TIME,LAT,LON,ELEV,DIST,BAZ,RES,TDEF,AUTHOR,LATH,LONH,DEPTH,AUTHOR,TYPE,MAG
DDI,Pn,Pg,911020,05:32:42,30.3225,78.0556,682,0.65,233.6,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DDI,Sn,Sg,911020,05:32:52,30.3225,78.0556,682,0.65,233.6,0.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BHK,Pb,Pn,911020,05:33:05,31.4167,76.4167,410,2.05,290.8,0.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
BHK,Sb,Sn,911020,05:33:31,31.4167,76.4167,410,2.05,290.8,1.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NDI,Pb,P,911020,05:33:09,28.6833,77.2167,230,2.37,212.2,-1.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
NDI,Sb,Sn,911020,05:33:41,28.6833,77.2167,230,2.37,212.2,1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SARP,Pn,P,911020,05:33:47,31.9215,72.6718,183,5.26,284.8,1.9,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CHCP,Pn,P,911020,05:33:50,33.6583,73.2638,579,5.43,304.2,2.7,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GKN,Pn,P,911020,05:33:55,28.003,84.637,1478,5.88,115.8,0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
THW,Pn,P,911020,05:34:00,32.7943,71.7427,533,6.24,291.2,1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DMN,Pn,P,911020,05:34:03,27.609,85.106,2225,6.43,117.1,1.1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KKN,Pn,P,911020,05:34:02,27.79,85.28,1920,6.48,115,0.3,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CEP,Pn,P,911020,05:34:03,33.8235,71.909,1376,6.5,300.3,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
CEP,Sn,S,911020,05:35:15,33.8235,71.909,1376,6.5,300.3,-0.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
VAR,Pn,P,911020,05:34:03,25.3,83.0167,88,6.62,143.4,-1.4,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
PKI,Pn,P,911020,05:34:06,27.571,85.409,2758,6.68,116.2,1,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
SBDP,Pn,P,911020,05:34:09,32.2997,70.8072,1356,6.89,285.3,1.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
GUN,Pn,P,911020,05:34:08,27.9106,85.8794,2900,6.9,112,-0.5,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
DRP,Pn,P,911020,05:34:16,31.744,70.2028,638,7.31,280.3,2.8,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
KSH,Pn,P,911020,05:34:38,39.5167,75.9731,1314,9.06,346.7,0.6,TRUE,ISC,30.7079,78.6554,25.4,NDI;NEIC,ML,5.3
